crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
3,2014.8120000000001,226.7177727126205,1340210.6435643565,0
3,2014.813,218.42599517766342,1264416.5322580645,0
3,2014.814,213.11770300308092,1209421.4393939395,0
3,2014.815,204.96074298030905,1112408.152173913,0
3,2014.816,196.92878374843835,1022126.3852242744,0
3,2014.817,196.43825261356466,1027837.4050632912,0
3,2014.818,192.1117541791802,969652.8535980149,0
3,2014.8190000000002,194.53909251530203,991109.8651960784,0
3,2014.8200000000002,191.25797636289403,930100.4761904762,0
3,2014.8210000000001,191.34346344400578,920784.3317972351,0
3,2014.8220000000001,194.63243486000763,949547.1428571428,0
3,2014.823,196.54536253583885,966106.4148681056,0
3,2014.824,201.81916756941553,1021898.1875,0
3,2014.825,208.03649164432326,1094616.24668435,0
3,2014.826,209.86720913540236,1109307.3170731708,0
3,2014.827,211.5949146230436,1126227.7932960894,0
3,2014.8280000000002,210.89231399728905,1109915.0280898877,0
3,2014.8290000000002,211.6657733856274,1111289.5774647887,0
3,2014.8300000000002,212.44638242535825,1114395.530726257,0
3,2014.8310000000001,211.46747114258662,1112955.7162534436,0
3,2014.832,207.32978175311717,1074986.6712707183,0
3,2014.833,212.4946641022983,1122116.5277777778,0
3,2014.834,209.66707783345382,1082451.5235457064,0
3,2014.835,209.5639770273596,1078696.9696969697,0
3,2014.836,208.56424239600224,1067110.9164420485,0
3,2014.837,204.51235672559116,1021576.550387597,0
3,2014.8380000000002,205.16028720472573,1035741.4322250639,0
3,2014.8390000000002,203.30275670216548,1014586.523929471,0
3,2014.8400000000001,200.37605143297995,1002495.0980392157,0
3,2014.8410000000001,201.80123725145725,1013306.4536340853,0
3,2014.842,204.32261322727257,1030724.5524296676,0
3,2014.843,202.83544958930506,1029597.9060913705,0
3,2014.844,200.73846884254112,1014558.2278481013,0
3,2014.845,201.31495705845768,1020691.4948453609,0
3,2014.846,201.80973100056295,1021836.9537275065,0
3,2014.847,202.79193507091972,1031741.8367346938,0
3,2014.8480000000002,203.72487890948116,1041489.0703517587,0
3,2014.8490000000002,200.4877843846029,1012868.0317848411,0
3,2014.8500000000001,198.84137040343896,984031.4634146341,0
3,2014.851,194.3510951366476,938032.9128440367,0
3,2014.852,191.23688922545787,914200.3796095444,0
3,2014.853,188.09238816239304,869433.0453563714,0
3,2014.854,189.7597958389946,889580.7978723404,0
3,2014.855,186.37862563683137,855575.0,0
3,2014.856,184.53103950684604,845054.3981481482,0
3,2014.8570000000002,182.87154408968155,826170.9196891192,0
3,2014.8580000000002,180.18979836825415,794446.1988304093,0
3,2014.8590000000002,179.99157834979098,797708.904109589,0
3,2014.8600000000001,181.09770814632708,814536.0655737704,0
4,2014.861,194.78152934561675,945433.5900473933,0
4,2014.862,198.10663081788792,972772.6044226044,0
4,2014.863,201.0228502988025,1012271.7283950617,0
4,2014.864,199.03890935820942,993108.7905236908,0
4,2014.865,202.38689166654984,1016630.0761421319,0
4,2014.866,205.97233477613776,1045468.7338501292,0
4,2014.8670000000002,204.4976016268105,1041260.941475827,0
4,2014.8680000000002,207.73030403717343,1082277.453580902,0
4,2014.8690000000001,209.83987435939662,1120057.650273224,0
4,2014.8700000000001,214.4558720568017,1170147.6156069364,0
4,2014.871,217.99456012236678,1220916.1854103343,0
4,2014.872,224.48288628209914,1318329.4811320754,0
4,2014.873,226.1924944114936,1329789.6179401993,0
4,2014.874,234.84411098046428,1431961.1206896552,0
4,2014.875,237.4973409758116,1495060.8274647887,0
4,2014.8760000000002,238.77663675083932,1494853.634751773,0
4,2014.8770000000002,234.37524426810646,1440898.3215547702,0
4,2014.8780000000002,224.5439446823462,1321171.6560509554,0
4,2014.8790000000001,217.34033572586927,1220713.244047619,0
4,2014.88,212.0091035779063,1163581.1971830986,0
4,2014.881,205.43025586243994,1088688.0208333333,0
4,2014.882,199.7772820609201,1015630.7980049875,0
4,2014.883,194.87599123460907,969397.7855477856,0
4,2014.884,188.9986713239503,899527.8824833703,0
4,2014.885,186.65326360667436,855898.1914893617,0
4,2014.8860000000002,180.5296996849961,792965.2636916835,0
4,2014.8870000000002,184.42450235938267,841953.381147541,0
4,2014.8880000000001,185.41786240991715,855629.4117647059,0
4,2014.8890000000001,183.67602669491734,841775.15625,0
4,2014.89,183.6250791586711,837613.122406639,0
4,2014.891,185.66462541058965,852698.6924686192,0
4,2014.892,182.3599322185156,813810.6921487603,0
4,2014.893,183.7021312695772,823936.6910229645,0
4,2014.894,183.86136183277156,827069.1823899371,0
4,2014.895,182.92540393276627,831036.534446764,0
4,2014.8960000000002,180.7678585647096,817866.127348643,0
4,2014.8970000000002,177.8726900623532,788157.1574642126,0
4,2014.8980000000001,178.4285130680944,792056.3259109312,0
4,2014.8990000000001,175.93453743880508,765991.1354581673,0
4,2014.9,173.9618373875681,757670.7766990291,0
4,2014.901,171.68712430517706,745547.2868217054,0
4,2014.902,171.3387175147837,755525.7225433526,0
4,2014.903,170.63662843871424,754439.3545279383,0
4,2014.904,172.918729377261,769484.5849802372,0
4,2014.9050000000002,173.07260734160243,765952.5879917184,0
4,2014.9060000000002,174.25491334262156,777999.1399082568,0
4,2014.9070000000002,173.1963366515089,763318.2692307692,0
4,2014.9080000000001,171.35853557753964,747751.2463343109,0
