crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
1,2005.3790000000001,408.76412425844035,4985648.1707317075,0
1,2005.38,379.2654089651955,4221255.882352941,0
1,2005.381,342.25686119720393,3610750.0,0
1,2005.3820000000003,372.12346314268126,4363698.98989899,0
1,2005.3830000000003,370.18006032642154,4181862.0,0
1,2005.3840000000002,351.71180039212726,3771501.4851485146,0
1,2005.3850000000002,349.0187123974954,3698539.8584905663,0
1,2005.3860000000002,342.25875952362895,3513665.5405405406,0
1,2005.3870000000002,344.4367312643387,3577185.2459016396,0
1,2005.3880000000001,330.43268557566125,3284124.404761905,0
1,2005.3890000000001,334.3567789705595,3247204.8449612404,0
1,2005.39,331.2684789930261,3121178.237410072,0
1,2005.391,339.9731830923587,3185610.144927536,0
1,2005.3920000000003,315.02444153330225,2552817.6470588236,0
1,2005.3930000000003,308.790888993159,2471121.974522293,0
1,2005.3940000000002,310.892959203705,2475976.636904762,0
1,2005.3950000000002,300.99578009974067,2349918.926553672,0
1,2005.3960000000002,307.45116179266864,2426894.4285714286,0
1,2005.3970000000002,303.70447536441077,2311547.905027933,0
1,2005.3980000000001,301.3026340519537,2269976.3089005235,0
1,2005.3990000000001,292.71915383014044,2150138.888888889,0
1,2005.4,290.6270164227568,2134339.0862944163,0
1,2005.4010000000003,293.34269772871585,2182759.487179487,0
1,2005.4020000000003,298.86710734413015,2412039.2670157067,0
1,2005.4030000000002,303.85503831808023,2506035.055865922,0
1,2005.4040000000002,300.19796876071774,2460801.923076923,0
1,2005.4050000000002,304.7710386494995,2518359.539473684,0
1,2005.4060000000002,296.83995210751567,2417040.3571428573,0
1,2005.4070000000002,289.50593373972276,2311128.7190082646,0
1,2005.4080000000001,293.57292872043473,2447170.5,0
1,2005.409,299.6173237672234,2548359.810126582,0
1,2005.41,306.5729053708893,2758877.5,0
2,2005.4110000000003,351.4085978689678,3399007.0833333335,0
2,2005.4120000000003,352.69464005507615,3450126.0683760685,0
2,2005.4130000000002,352.69486977555994,3430893.125,0
2,2005.4140000000002,343.1367735786248,3165126.9911504425,0
2,2005.4150000000002,351.86215103096055,3511062.7118644067,0
2,2005.4160000000002,352.48068146515703,3557977.754237288,0
2,2005.4170000000001,337.97931716178493,3270144.827586207,0
2,2005.4180000000001,323.0478837768444,3005920.1612903224,0
2,2005.419,324.4854030830978,3076333.6614173227,0
2,2005.42,334.52801980160496,3297429.724409449,0
2,2005.4210000000003,328.519015403243,3073899.031007752,0
2,2005.4220000000003,316.5410168344652,2895458.992805755,0
2,2005.4230000000002,319.55986885964677,2927113.75,0
2,2005.4240000000002,323.8548571316929,3023826.048951049,0
2,2005.4250000000002,318.8564937639682,2756164.6739130435,0
2,2005.4260000000002,317.81451779145493,2779428.275862069,0
