,area,equivalent_diameter,centroid-0,centroid-1,orientation,major_axis_length,minor_axis_length,perimeter
50,48609.0,248.7788194964184,295.1216029953301,7949.893826246169,-0.4147288031085016,429.7243325145996,166.30563611609873,2404.015510839149
51,6559.0,91.38478086595127,92.50693703308431,7865.7565177618535,26.595787952592165,97.19445732607868,89.2499808569811,411.78279195104676
52,3.0,1.9544100476116797,45.333333333333336,5304.666666666667,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
53,200263.0,504.95818732574077,507.4755846062428,8788.74373199243,-5.053444207989402,911.8291164646793,424.7922355874753,5935.384448165321
54,29.0,6.076507779746499,53.3448275862069,2078.0689655172414,13.3613033483413,15.486853857008267,3.2967280560640058,26.48528137423857
55,2483.0,56.22680668131002,88.78815948449456,2174.127668143375,34.35054496730179,68.2857368652875,49.2156971843574,213.3086578651014
56,1.0,1.1283791670955126,49.0,1090.0,-45.00001609038752,0.0,0.0,0.0
57,14.0,4.222008245644752,53.57142857142857,2709.1428571428573,9.00988786250047,6.05122561235416,2.849098535667036,11.035533905932738
58,1.0,1.1283791670955126,51.0,7362.0,-45.00001609038752,0.0,0.0,0.0
59,8.0,3.1915382432114616,52.625,11549.25,53.230026439163275,4.371502587609577,2.764048683819221,8.621320343559642
60,12.0,3.9088200952233594,54.166666666666664,2082.6666666666665,37.74993011474121,5.790955845166392,2.6285499507861054,11.035533905932738
61,1.0,1.1283791670955126,54.0,2060.0,-45.00001609038752,0.0,0.0,0.0
62,62.0,8.884866446580956,62.935483870967744,1773.6451612903227,8.770145172935203,16.299059621956346,4.990456019000797,34.692388155425114
63,392.0,22.34076770248023,78.1811224489796,2731.436224489796,2.9876061298347953,59.46079731299572,11.997752679848594,171.12489168102786
64,4.0,2.256758334191025,56.5,1354.5,67.50002413558127,4.82842712474619,0.8284271247461902,2.414213562373095
65,1.0,1.1283791670955126,56.0,2062.0,-45.00001609038752,0.0,0.0,0.0
66,1.0,1.1283791670955126,56.0,11550.0,-45.00001609038752,0.0,0.0,0.0
67,33939.0,207.87610951902744,202.2619994696367,1884.6494298594537,1.1068422017545854,272.56986786504785,165.78480176734038,1406.1362184380705
68,794.0,31.79547449747714,88.64735516372797,11426.011335012594,-16.771962262401956,55.48714341761042,20.049089305196585,145.46803743153546
69,51437.0,255.91331044426462,244.86548593424968,1710.2094989987752,28.09901913367122,311.4585506158735,257.18748525450883,2242.495741579504
70,1.0,1.1283791670955126,62.0,2062.0,-45.00001609038752,0.0,0.0,0.0
71,1.0,1.1283791670955126,62.0,2739.0,-45.00001609038752,0.0,0.0,0.0
72,4.0,2.256758334191025,62.5,3626.5,-45.00001609038752,2.0,2.0,4.0
73,1.0,1.1283791670955126,62.0,7338.0,-45.00001609038752,0.0,0.0,0.0
74,2.0,1.5957691216057308,62.0,11425.5,90.00003218077504,2.0,0.0,0.0
75,5.0,2.5231325220201604,64.2,9817.4,18.43495541459913,3.098386676965933,1.7888543819998317,5.207106781186548
76,47.0,7.735777827895049,70.36170212765957,10458.170212765957,3.8004059660703717,13.443876950212402,4.540952887555145,28.485281374238568
77,10.0,3.5682482323055424,67.1,4412.7,-11.43683668471488,5.283365896051478,2.3845428929755403,9.035533905932738
78,78724.0,316.59834162504853,289.2131116305066,8275.06601544637,15.536730890326519,428.17111663605226,264.57304614646614,2916.562804778013
79,38279.0,220.7676075263699,205.19096632618408,9516.087515347841,-12.132513869922674,280.17737632128734,196.69803529289203,1063.288455329568
80,3.0,1.9544100476116797,68.33333333333333,4508.666666666667,45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
81,62517.0,282.1331540571015,263.5028712190284,9319.302365756514,7.883899411689577,378.9716606035104,223.2768898756719,1815.084486609961
82,21.0,5.170882945826411,73.14285714285714,2738.3333333333335,13.684546929712795,10.469950327883891,3.190704255549745,18.035533905932738
83,1.0,1.1283791670955126,69.0,3388.0,-45.00001609038752,0.0,0.0,0.0
84,1.0,1.1283791670955126,69.0,3397.0,-45.00001609038752,0.0,0.0,0.0
85,6891.0,93.66906481208194,130.19431142069365,8023.73719344072,25.190127463604426,102.46452148152669,93.35624923800874,539.5523445727472
86,21545.0,165.6259218580204,157.60273845439778,8550.058389417498,10.058323172997419,182.72632802355326,152.5652447156523,750.2335854398791
87,7927.0,100.4637739243138,125.67200706446323,189.92430932256843,61.65806057458402,124.2967031945843,85.77552136892841,405.7411613907041
88,16048.0,142.94386385539568,209.3579885343968,1345.5849327018943,2.553398280234138,251.95328205583334,86.12185531551113,725.7544007200504
89,15411.0,140.07817326019637,157.58886509635974,9177.782947245474,-4.273896889508397,187.61825837993266,108.52333384775883,582.8538597629122
90,22.0,5.292567428401227,75.22727272727273,10506.318181818182,5.791326770568925,10.202395711659495,3.7672421581641284,16.035533905932738
91,1.0,1.1283791670955126,71.0,4418.0,-45.00001609038752,0.0,0.0,0.0
92,6.0,2.763953195770684,73.0,2066.5,0.0,3.265986323710904,2.0,6.0
93,12.0,3.9088200952233594,73.66666666666667,7331.083333333333,60.32852176221919,6.408732122296485,3.0065368276068583,11.207106781186548
94,3.0,1.9544100476116797,72.66666666666667,7335.666666666667,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
95,3.0,1.9544100476116797,77.33333333333333,2073.3333333333335,-45.00001609038752,2.3094010767585034,1.3333333333333333,3.414213562373095
96,4.0,2.256758334191025,77.5,8751.5,-45.00001609038752,2.0,2.0,4.0
97,5.0,2.5231325220201604,78.8,1036.4,-18.43495541459913,3.098386676965933,1.7888543819998317,5.207106781186548
98,4511.0,75.7864340518824,123.21103968078032,8100.062957215695,43.98292369052777,110.52607480334827,55.80518368082404,389.2264427649427
99,21831.0,166.7216017830723,179.3939352297192,10495.74142274747,-12.878675216449658,190.66496147531248,179.89516445503344,1564.3555185280766
100,2.0,1.5957691216057308,80.5,2075.0,0.0,2.0,0.0,0.0
101,11.0,3.742410318509555,80.36363636363636,4423.363636363636,86.54441738565912,8.063309674147462,1.8651822611731566,11.414213562373096
102,6.0,2.763953195770684,80.5,7341.5,-71.5650767661759,3.9999999999999996,1.632993161855452,6.414213562373095
103,7.0,2.985410660720923,80.42857142857143,7352.285714285715,-81.65040707825256,4.155374705678736,1.9054711331003737,7.207106781186548
104,24.0,5.527906391541368,80.66666666666667,7362.208333333333,-86.66144517458592,16.519069617598497,2.3053814030174347,23.242640687119287
